Date,Core-Dividend-Growth-ETF,MSCI-USA-Momentum-Factor-ETF,SP-500-Value-ETF,Asia-50-ETF,MSCI-USA-Quality-GARP-ETF,MSCI-EAFE-Min-Vol-Factor-ETF,Edge-MSCI-World-Momentum-Factor-UCITS-ETF-USD-Acc,MSCI-USA-Min-Vol-Factor-ETF,Edge-MSCI-Europe-Momentum-Factor-UCITS-ETF-EUR-Acc,MSCI-USA-Quality-Factor-ETF,Edge-MSCI-Europe-Minimum-Volatility-UCITS-ETF-EUR-A,Edge-MSCI-World-Minimum-Volatility-UCITS-ETF-USD-Ac,MSCI-Global-Min-Vol-Factor-ETF,MSCI-USA-Equal-Weighted-ETF,Russell-2000-ETF
31-07-2008,,,1.34,-1.04,,,,,,,,,,,3.71
31-08-2008,,,1.34,-6.58,,,,,,,,,,,3.61
30-09-2008,,,-7.48,-14.37,,,,,,,,,,,-7.94
31-10-2008,,,-17.06,-21.33,,,,,,,,,,,-20.76
30-11-2008,,,-8.98,-7.38,,,,,,,,,,,-11.78
31-12-2008,,,0.93,8.1,,,,,,,,,,,5.87
31-01-2009,,,-12.09,-6.43,,,,,,,,,,,-11.08
28-02-2009,,,-13.03,-5.4,,,,,,,,,,,-12.15
31-03-2009,,,9.84,12.62,,,,,,,,,,,8.93
30-04-2009,,,11.0,15.32,,,,,,,,,,,15.43
31-05-2009,,,6.35,11.54,,,,,,,,,,,3.01
30-06-2009,,,-0.45,-1.06,,,,,,,,,,,1.47
31-07-2009,,,8.4,14.24,,,,,,,,,,,9.64
31-08-2009,,,5.42,-3.24,,,,,,,,,,,2.84
30-09-2009,,,3.14,8.85,,,,,,,,,,,5.77
31-10-2009,,,-3.63,-1.33,,,,,,,,,,,-6.79
30-11-2009,,,6.24,1.72,,,,,,,,,,,3.13
31-12-2009,,,1.75,4.66,,,,,,,,,,,8.03
31-01-2010,,,-2.02,-5.37,,,,,,,,,,,-3.68
28-02-2010,,,2.74,-0.45,,,,,,,,,,,4.48
31-03-2010,,,6.34,6.2,,,,,,,,,,,8.14
30-04-2010,,,1.86,2.8,,,,,,,,,,,5.64
31-05-2010,,,-7.91,-9.42,,,,,,,,,,,-7.58
30-06-2010,,,-5.73,0.93,,,,,,,,,,-5.32,-7.75
31-07-2010,,,7.07,6.27,,,,,,,,,,6.97,6.85
31-08-2010,,,-4.68,-2.75,,,,,,,,,,-4.43,-7.41
30-09-2010,,,7.71,9.49,,,,,,,,,,9.04,12.45
31-10-2010,,,2.56,2.91,,,,,,,,,,3.9,4.08
30-11-2010,,,-0.47,1.34,,,,,,,,,,0.12,3.47
31-12-2010,,,8.18,6.7,,,,,,,,,,6.61,7.91
31-01-2011,,,3.23,2.17,,,,,,,,,,2.39,-0.27
28-02-2011,,,3.67,-4.39,,,,,,,,,,3.32,5.48
31-03-2011,,,-0.24,5.14,,,,,,,,,,0.13,2.58
30-04-2011,,,2.53,2.82,,,,,,,,,,3.04,2.64
31-05-2011,,,-1.85,-0.77,,,,,,,,,,-1.1,-1.87
30-06-2011,,,-2.11,-4.04,,,,,,,,,,-1.68,-2.31
31-07-2011,,,-3.58,0.84,,,,,,,,,,-1.95,-3.62
31-08-2011,,,-6.18,-9.62,,,,,,,,,,-5.52,-8.69
30-09-2011,,,-7.49,-10.62,,,,,,,,,,-7.19,-11.17
31-10-2011,,,11.26,11.86,,,,,,,,,,10.94,15.08
30-11-2011,,,-0.31,-6.55,,-3.04,,1.13,,,,,-1.72,-0.3,-0.34
31-12-2011,,,1.8,1.53,,0.66,,2.65,,,,,2.59,0.9,0.66
31-01-2012,,,4.87,10.09,,1.05,,1.46,,,,,1.78,4.71,7.06
29-02-2012,,,4.15,5.79,,3.58,,2.18,,,,,2.48,4.39,2.39
31-03-2012,,,3.35,-2.53,,0.95,,2.5700000000000003,,,,,1.1199999999999999,3.16,2.56
30-04-2012,,,-1.34,1.32,,0.08,,1.4200000000000002,,,,,1.15,-0.59,-1.55
31-05-2012,,,-6.68,-10.45,,-7.57,,-2.48,,,,,-4.45,-6.14,-6.6
30-06-2012,,,4.7,2.52,,6.26,,3.8899999999999997,,,,,4.109999999999999,3.91,4.98
31-07-2012,,,0.85,4.11,,2.27,,1.87,,,,,2.31,1.37,-1.34
31-08-2012,,,2.16,-1.94,,2.33,,-0.1,,,,,0.63,2.33,3.34
30-09-2012,,,3.11,6.79,,2.37,,1.51,,,,,1.8499999999999999,2.53,3.29
31-10-2012,,,-0.6799999999999999,-0.16,,-0.37,,-0.98,,,,,-0.74,-1.81,-2.17
30-11-2012,,,0.13999999999999999,2.79,,0.61,,0.16999999999999998,,,,,0.3,0.63,0.54
31-12-2012,,,2.15,3.8699999999999997,,-0.01,,-0.8200000000000001,,,0.351549,-0.912525,-0.44,0.9400000000000001,3.54
31-01-2013,,,6.4799999999999995,0.08,,4.04,,5.07,,,1.61645,4.617021,4.3,5.29,6.25
28-02-2013,,,1.34,0.19,,1.3299999999999998,,2.69,,,2.036297,2.512716,2.55,1.27,1.1199999999999999
31-03-2013,,,3.6999999999999997,-2.4699999999999998,,4.55,,5.09,,,4.015778,5.083951,4.41,3.7199999999999998,4.61
30-04-2013,,,1.76,1.21,,4.2299999999999995,,2.7199999999999998,,,1.476241,2.978559,2.98,1.96,-0.36
31-05-2013,,-0.08,2.4699999999999998,-1.67,,-6.09,,-2.44,,,-0.52436,-4.77559,-4.33,2.09,3.9899999999999998
30-06-2013,,-0.95,-0.9299999999999999,-5.54,,-1.05,,-0.33,,,-3.215308,-0.485056,-0.38,-1.32,-0.51
31-07-2013,,6.3,5.07,2.98,,2.94,,3.62,,,3.352321,3.171164,2.92,5.220000000000001,7.01
31-08-2013,,-3.44,-3.5900000000000003,0.88,,-1.38,,-3.2300000000000004,,-1.94,-1.100966,-2.711476,-2.79,-2.76,-3.17
30-09-2013,,3.1300000000000003,2.45,4.68,,5.21,,2.54,,3.6999999999999997,2.435882,3.268558,3.27,3.3099999999999996,6.370000000000001
31-10-2013,,5.21,4.34,3.38,,2.03,,4.7,,4.75,3.28294,3.589392,3.52,4.41,2.5100000000000002
30-11-2013,,3.0700000000000003,2.8000000000000003,1.5699999999999998,,-0.5,,1.35,,4.06,0.461183,-0.027138,-0.2,2.83,4.01
