Date,Core-Dividend-Growth-ETF,MSCI-USA-Momentum-Factor-ETF,SP-500-Value-ETF,Asia-50-ETF,MSCI-USA-Quality-GARP-ETF,MSCI-EAFE-Min-Vol-Factor-ETF,Edge-MSCI-World-Momentum-Factor-UCITS-ETF-USD-Acc,MSCI-USA-Min-Vol-Factor-ETF,Edge-MSCI-Europe-Momentum-Factor-UCITS-ETF-EUR-Acc,MSCI-USA-Quality-Factor-ETF,Edge-MSCI-Europe-Minimum-Volatility-UCITS-ETF-EUR-A,Edge-MSCI-World-Minimum-Volatility-UCITS-ETF-USD-Ac,MSCI-Global-Min-Vol-Factor-ETF,MSCI-USA-Equal-Weighted-ETF,Russell-2000-ETF
30-11-2021,-1.43,-3.87,-3.26,-4.88,1.38,-2.48,-3.079546,-1.99,-2.213211,-0.63,0.162854,-2.013631,-1.88,-2.97,-4.19
31-12-2021,6.7,-0.5,7.02,1.4,2.03,3.73,1.438911,6.77,4.18274,3.51,4.723092,5.788004,5.58,4.65,2.22
31-01-2022,-3.2,-9.06,-1.65,1.2,-8.71,-5.04,-7.741522,-5.91,-7.09341,-6.89,-5.33938,-5.535052,-4.56,-5.89,-9.63
28-02-2022,-2.55,-2.67,-1.45,-7.01,-3.52,-1.15,-2.163563,-3.06,-3.554311,-4.16,-2.147362,-1.768232,-1.88,-1.2,1.06
31-03-2022,2.34,4.63,2.95,-4.99,2.67,-0.02,4.420011,5.48,2.556375,3.75,1.732034,4.558632,3.34,2.23,1.24
30-04-2022,-5.24,-12.58,-4.89,-5.98,-10.49,-4.94,-11.321684,-5.27,-2.860896,-8.06,0.635619,-4.876841,-4.33,-7.96,-9.92
31-05-2022,1.54,-0.55,1.62,2.26,-2.03,-0.84,-0.137501,-0.02,-1.58398,-0.18,-3.358876,-0.712477,-0.79,0.06,0.14
30-06-2022,-6.86,-6.49,-8.24,-4.59,-8.09,-5.24,-7.575875,-4.12,-5.705019,-9.05,-4.837622,-4.394231,-3.98,-9.29,-8.25
31-07-2022,6.25,5.179995,5.9,-3.43,12.83,3.8,4.382936,5.104243,4.559584,9.150471,5.908057,3.578975,3.05,8.891803,10.44
31-08-2022,-3.5,-1.913238,-2.86,-1.4,-4.64,-5.48,-2.564028,-3.07042,-3.643065,-5.024766,-5.129083,-2.976492,-2.56,-3.229416,-2.029781
30-09-2022,-8.325,-6.043048,-8.484,-15.64,-8.906,-8.37,-7.350914,-7.187364,-5.606437,-9.814886,-6.807531,-6.893342,-6.68,-9.60197,-9.584526
31-10-2022,10.281,12.517744,11.496,-8.8,6.781,2.67,9.931669,7.802684,5.915232,8.233335,4.425549,5.782779,4.29,8.876927,10.991187
30-11-2022,6.829,3.557269,6.007,27.45,4.31,10.25,5.353729,5.764735,4.936824,7.828387,4.792917,6.091519,6.81,6.273117,2.330847
31-12-2022,-3.821,-3.855256,-3.932,-0.85,-7.908,-0.07,-2.446748,-3.747898,-3.288994,-5.58551,-2.919849,-2.019831,-2.46,-5.203473,-6.489751
31-01-2023,2.638,-0.644088,6.98,13.7,8.66,4.6,1.074511,1.473188,3.209112,7.017748,3.805631,1.866504,1.95,8.160406,9.768536
28-02-2023,-2.725,-3.979163,-2.99,-9.77,-0.44,-3.06,-3.233877,-3.443331,2.991291,-2.68101,1.500745,-3.557486,-3.93,-3.312075,-1.680725
31-03-2023,0.759,0.387186,1.296,5.85,5.551,4.29,0.876874,3.360611,-0.565668,4.788674,2.075261,3.948648,3.92,-0.552464,-4.783745
30-04-2023,1.779,2.423598,1.7,-4.58,0.342,4.04,2.892782,1.489019,4.14609,1.663763,3.573993,2.662801,2.8,-0.470278,-1.800545
31-05-2023,-3.569,-4.90174,-1.914,-1.52,3.437,-4.18,-4.841448,-3.247423,-3.850191,0.673317,-3.026694,-3.952843,-3.22,-2.405371,-0.931411
30-06-2023,5.547,6.967144,6.859,3.33,7.418,2.18,6.369109,4.496655,3.208077,6.507694,1.005028,3.066301,2.75,7.635776,8.085166
31-07-2023,3.359,1.725918,3.394,6.4,2.377,1.99,2.401055,1.346917,0.965854,3.732898,1.02121,1.308309,1.52,4.186098,6.055996
31-08-2023,-2.41,0.279325,-2.747,-8.13,-0.745,-2.43,-1.303117,-0.565001,-2.170905,-0.410823,-1.665654,-1.509962,-1.98,-3.241117,-5.014579
30-09-2023,-3.96,-4.785363,-4.657,-4.35,-4.181,-2.84,-4.126346,-2.836293,-1.200316,-5.084535,-1.490301,-2.734158,-2.19,-4.829301,-5.892482
31-10-2023,-2.625,-1.640538,-1.739,-2.76,-0.991,-2.03,-1.817875,-0.877677,-2.235074,-1.410219,-1.553774,-1.422517,-1.51,-4.404266,-6.815644
30-11-2023,7.108,9.211954,9.551,6.86,11.285,5.56,9.290741,6.402548,6.72578,8.551606,4.201775,5.735873,5.08,9.796529,9.058873
31-12-2023,4.879,4.793392,5.508,2.33,4.527,3.98,4.415831,2.699475,1.950868,4.801115,1.8042,2.666662,3.2,7.400774,12.201501
31-01-2024,1.302,5.599415,0.282,-6.57,3.956,-0.5,5.546245,2.242325,2.802516,2.244757,1.697588,2.155354,1.11,-0.829318,-3.897439
29-02-2024,3.117,10.050836,3.031,6.28,8.194,0.75,8.989081,2.086477,4.370094,6.526644,0.226328,0.921197,1.63,4.571668,5.644886
31-03-2024,3.908,2.9063,4.535,5.6,2.996,1.94,4.20154,3.142915,6.385929,2.663427,3.120651,2.41699,1.97,4.346123,3.561775
30-04-2024,-3.668,-5.556826,-4.314,0.85,-5.173,-2.08,-3.979225,-3.707922,-1.09685,-4.433207,-0.500394,-3.52613,-2.78,-5.104492,-7.046773
31-05-2024,2.937,5.332291,2.96,4.01,8.008,3.3,5.657132,2.794846,3.838962,5.563292,2.699007,2.263636,2.15,2.592832,5.001809
30-06-2024,0.566,4.56614,-0.669,5.99,6.477,-1.42,3.569486,1.78479,-0.205518,3.166075,0.063289,0.470236,1.05,-0.073046,-0.925497
31-07-2024,4.611,-1.9604,4.733,-0.59,-1.14,5.99,-1.192932,3.721409,0.514212,0.73241,3.092107,4.804342,3.94,4.08343,10.107066
31-08-2024,3.079,3.396348,2.943,0.88,1.595,4.74,2.398072,4.92785,1.173358,3.492358,2.909879,4.953031,4.5,2.445595,-1.509807
30-09-2024,1.526,2.848655,1.102,7.42,2.713,-0.03,1.727873,0.428552,0.013574,1.121123,-0.24741,0.130406,0.86,2.150172,0.697713
31-10-2024,-1.14,-0.142346,-1.286,-1.76,-2.122,-3.94,-1.240013,-1.455556,-1.471069,-1.547784,-1.758604,-2.359139,-2.49,-1.043177,-1.456315
30-11-2024,4.706,6.92232,5.765,-2.67,7.194,0.11,4.125033,5.023148,3.208291,4.884405,1.268285,3.542088,3.25,7.758179,10.963217
31-12-2024,-4.939,-4.040132,-6.812,0.28,0.416,-3.18,-2.628283,-5.590915,-0.467208,-3.516123,-1.265464,-4.922249,-4.03,-6.235221,-8.281279
31-01-2025,3.512,5.922758,2.88,2.81,3.662,3.2,4.779724,3.582755,7.344441,2.950218,4.911076,3.655862,2.7,4.154821,2.601092
28-02-2025,1.078,-0.298637,0.406,4.5,-4.191,3.78,0.28209,2.784134,3.701873,-0.979757,3.073757,3.346772,2.7,-1.410019,-5.331115
31-03-2025,-3.166,-7.377076,-2.972,-1.12,-8.537,2.82,-5.665741,-0.6236,-3.465856,-5.622019,-0.780856,0.681781,1.03,-3.946164,-6.809676
30-04-2025,-2.651,3.906264,-3.581,-2.83,2.395,5.9,3.298062,-1.191689,1.762758,-0.895602,1.358604,0.998964,0.66,-1.873425,-2.298971
31-05-2025,3.3,10.43675,3.002,6.46,8.822,2.47,7.194657,1.110063,5.708385,4.623671,2.849093,1.109738,1.2,4.482721,5.330533
30-06-2025,3.483,4.018431,3.671,8.87,6.274,1.55,3.607089,0.697135,-0.350613,3.390289,-2.576966,0.271928,1.07,3.625441,5.397846
31-07-2025,0.976,0.325858,0.873,3.13,1.704,-2.93,-0.790983,-1.308322,2.032849,0.718614,-0.409065,-2.145076,-1.88,1.135274,1.713806
